experiment,sequence,rep,IDX,t_compress,t_decompress
G-PCC,soldier,20,2,11.699,1.522
G-PCC,soldier,21,2,11.618,1.497
G-PCC,soldier,22,2,11.63,1.478
G-PCC,soldier,23,2,11.69,1.506
G-PCC,soldier,24,2,11.631,1.513
G-PCC,soldier,25,2,11.618,1.478
G-PCC,soldier,26,2,11.669,1.502
G-PCC,soldier,27,2,11.633,1.488
G-PCC,soldier,28,2,11.696,1.489
G-PCC,soldier,29,2,11.681,1.512
G-PCC,soldier,0,3,18.678,3.197
G-PCC,soldier,1,3,18.717,3.27
G-PCC,soldier,2,3,18.705,3.232
G-PCC,soldier,3,3,18.601,3.178
G-PCC,soldier,4,3,18.663,3.273
G-PCC,soldier,5,3,18.752,3.223
G-PCC,soldier,6,3,18.655,3.286
G-PCC,soldier,7,3,18.682,3.229
G-PCC,soldier,8,3,18.787,3.181
G-PCC,soldier,9,3,18.604,3.266
G-PCC,soldier,10,3,18.641,3.229
G-PCC,soldier,11,3,18.749,3.247
G-PCC,soldier,12,3,18.664,3.254
G-PCC,soldier,13,3,18.767,3.194
G-PCC,soldier,14,3,18.683,3.27
G-PCC,soldier,15,3,18.699,3.207
G-PCC,soldier,16,3,18.761,3.292
G-PCC,soldier,17,3,18.688,3.191
G-PCC,soldier,18,3,18.631,3.276
G-PCC,soldier,19,3,18.685,3.253
G-PCC,soldier,20,3,18.661,3.228
G-PCC,soldier,21,3,18.714,3.227
G-PCC,soldier,22,3,18.611,3.255
G-PCC,soldier,23,3,18.645,3.249
G-PCC,soldier,24,3,18.726,3.255
G-PCC,soldier,25,3,18.624,3.166
G-PCC,soldier,26,3,18.687,3.272
G-PCC,soldier,27,3,18.706,3.239
G-PCC,soldier,28,3,18.696,3.175
G-PCC,soldier,29,3,18.57,3.228
