metric,pointCloud,method,BD-PSNR,BD-Rate
sym_d2_psnr,Facade,V-PCC,-2.8753973398468005,6.8967794447146735
sym_d2_psnr,Facade,IT-DL-PCC,0.9971925577528116,-66.34615537086692
sym_d2_psnr,Facade,JPEG-Pleno,-2.691364311525153,138.24450900593973
sym_d2_psnr,CITISUP,G-PCC,-4.054737106221341,183.18823789575424
sym_d2_psnr,CITISUP,V-PCC,-7.215849044564344,1040.219464991796
sym_d2_psnr,CITISUP,IT-DL-PCC,-3.7198358697192093,218.30523135439185
sym_d2_psnr,CITISUP,JPEG-Pleno,-2.6849419966459434,78.38351277645701
sym_d2_psnr,House,G-PCC,-2.4106054089897455,72.87086188428033
sym_d2_psnr,House,V-PCC,-2.7249037846804502,2237.247242361013
sym_d2_psnr,House,IT-DL-PCC,0.8647171741447516,81.97817949941673
sym_d2_psnr,House,JPEG-Pleno,-3.4857470852095114,282.7080714660968
sym_d2_psnr,boxer,G-PCC,0.35676825332978196,-25.792594640724108
sym_d2_psnr,boxer,V-PCC,-5.376400507730025,
sym_d2_psnr,boxer,IT-DL-PCC,-2.137428032051303,-17.345391764078943
sym_d2_psnr,boxer,JPEG-Pleno,-6.57859877038324,449.61403378138743
sym_d2_psnr,EPFL,G-PCC,-3.393207234161956,81.47357656736531
sym_d2_psnr,EPFL,V-PCC,-5.497992406018517,301.3074812562132
sym_d2_psnr,EPFL,IT-DL-PCC,-1.7921615766862955,60.412817016207065
sym_d2_psnr,EPFL,JPEG-Pleno,-3.923261442200731,37.59280754612813
sym_d2_psnr,Unicorn,G-PCC,-4.075154782446135,165.09506214679374
sym_d2_psnr,Unicorn,V-PCC,-4.863594061181772,
sym_d2_psnr,Unicorn,IT-DL-PCC,1.165454012468569,17.316322318346742
sym_d2_psnr,Unicorn,JPEG-Pleno,-4.6597113686538325,49448.77850509707
sym_d2_psnr,shiva,G-PCC,-4.75056835771494,385.4020188047621
sym_d2_psnr,shiva,V-PCC,0.2890564599406115,45.7114951495077
sym_d2_psnr,shiva,IT-DL-PCC,-1.3969506354367702,276.30202791034407
